,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time
10,SRR1168867,adipose_tissue,87.93,445911463,2803462288,610372155,111,4000000,8,r6a.2xlarge,paired,i-0ef44a3e24caafaa9,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR1168867_STAR_normalized_counts.tsv,2024-03-03T00:06:37,2024-03-03T00:06:51,2024-03-03T00:06:51,2024-03-03T00:06:56,2024-03-03T00:06:56,2024-03-03T00:07:55,2024-03-03T00:07:55,2024-03-03T00:08:01
11,SRR5310478,adipose_tissue,87.72,3250775338,15860876344,4549118039,111,24173691,8,r6a.2xlarge,paired,i-09c15448092ddddd9,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR5310478_STAR_normalized_counts.tsv,2024-03-02T23:51:41,2024-03-02T23:53:00,2024-03-02T23:53:00,2024-03-02T23:53:48,2024-03-02T23:53:48,2024-03-02T23:59:28,2024-03-02T23:59:28,2024-03-02T23:59:34
12,SRR6742618,adipose_tissue,87.46,3177006121,18546195232,5495984575,111,41477322,8,r6a.2xlarge,paired,i-024ec4e1f3c2a3f86,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742618_STAR_normalized_counts.tsv,2024-03-02T22:42:13,2024-03-02T22:43:28,2024-03-02T22:43:28,2024-03-02T22:44:25,2024-03-02T22:44:25,2024-03-02T22:50:56,2024-03-02T22:50:56,2024-03-02T22:51:02
13,SRR6742594,adipose_tissue,87.35,3416278879,20709104648,5846980477,111,46310790,8,r6a.2xlarge,paired,i-0bd5f296979f3db56,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742594_STAR_normalized_counts.tsv,2024-03-02T21:13:53,2024-03-02T21:15:19,2024-03-02T21:15:19,2024-03-02T21:16:24,2024-03-02T21:16:24,2024-03-02T21:23:05,2024-03-02T21:23:05,2024-03-02T21:23:11
14,SRR6742595,adipose_tissue,87.28,2682646631,15890130384,4546364699,111,35553769,8,r6a.2xlarge,paired,i-0301c7d25de205cad,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742595_STAR_normalized_counts.tsv,2024-03-02T23:40:05,2024-03-02T23:41:15,2024-03-02T23:41:15,2024-03-02T23:42:03,2024-03-02T23:42:03,2024-03-02T23:47:21,2024-03-02T23:47:21,2024-03-02T23:47:27
15,SRR6742634,adipose_tissue,86.98,3017008180,17795046644,5092590520,111,39799889,8,r6a.2xlarge,paired,i-050a3bbb73a69189b,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR6742634_STAR_normalized_counts.tsv,2024-03-03T00:18:58,2024-03-03T00:20:28,2024-03-03T00:20:28,2024-03-03T00:21:23,2024-03-03T00:21:23,2024-03-03T00:27:30,2024-03-03T00:27:30,2024-03-03T00:27:36
16,SRR18306541,adipose_tissue,86.3,583954252,4201837084,1054278566,111,18217505,8,r6a.2xlarge,single,i-0d28ccfc9db6b2d91,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR18306541_STAR_normalized_counts.tsv,2024-03-02T21:53:18,2024-03-02T21:53:33,2024-03-02T21:53:33,2024-03-02T21:53:45,2024-03-02T21:53:45,2024-03-02T21:55:17,2024-03-02T21:55:17,2024-03-02T21:55:23
17,SRR19614684,adipose_tissue,85.53,2338704894,23643466512,3224443517,111,34138834,8,r6a.2xlarge,paired,i-0cf12ba749ba1f9ec,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR19614684_STAR_normalized_counts.tsv,2024-03-02T21:15:00,2024-03-02T21:16:03,2024-03-02T21:16:03,2024-03-02T21:17:20,2024-03-02T21:17:20,2024-03-02T21:25:15,2024-03-02T21:25:15,2024-03-02T21:25:21
18,SRR11109651,adipose_tissue,84.54,744880940,6217716468,1144892759,111,26534580,8,r6a.2xlarge,single,i-07756c6eac2dbe0b4,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11109651_STAR_normalized_counts.tsv,2024-03-02T22:45:11,2024-03-02T22:45:29,2024-03-02T22:45:29,2024-03-02T22:45:46,2024-03-02T22:45:46,2024-03-02T22:47:51,2024-03-02T22:47:51,2024-03-02T22:47:57
19,SRR12068716,adipose_tissue,84.09,921249882,7991150724,1569726263,111,27901372,8,r6a.2xlarge,single,i-07e4dbcb346599c35,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR12068716_STAR_normalized_counts.tsv,2024-03-02T23:31:45,2024-03-02T23:32:09,2024-03-02T23:32:09,2024-03-02T23:32:30,2024-03-02T23:32:30,2024-03-02T23:35:35,2024-03-02T23:35:35,2024-03-02T23:35:40
