,Run
536,SRR4240787
537,SRR4240789
538,SRR4240798
539,SRR4240799
540,SRR4240803
541,SRR4240804
542,SRR12503570
543,SRR12503572
544,SRR12503573
545,SRR12503659
546,SRR12503664
547,SRR12503666
548,SRR12503674
549,SRR12503675
550,SRR12503612
551,SRR4240816
552,SRR4240817
553,SRR4240820
554,SRR4240823
555,SRR4240829
556,SRR4240835
557,SRR4240842
558,SRR12503621
559,SRR12503626
560,SRR12503628
561,SRR12503643
562,SRR12503650
563,SRR12503574
564,SRR12503578
565,SRR12503580
566,SRR12503593
567,SRR12503601
568,SRR16145765
569,SRR16145771
570,SRR16145772
571,SRR16145778
572,SRR16145780
573,SRR16145782
574,SRR16145784
575,SRR16145785
576,SRR16145790
577,SRR4240853
578,SRR4240858
579,SRR4240865
580,SRR4240870
581,SRR6996091
582,SRR6996099
583,SRR7056243
584,SRR7056244
585,SRR9130239
586,SRR9130240
587,SRR12503677
588,SRR12503678
589,SRR12503683
590,SRR12503688
591,SRR12503691
592,SRR12503692
593,SRR12503693
594,SRR16145801
595,SRR16145806
596,SRR16145808
597,SRR16145809
598,SRR16145815
599,SRR16145819
600,SRR16145821
601,SRR16145825
602,SRR16145827
603,SRR16145835
604,SRR16145837
605,SRR16145856
606,SRR16145858
607,SRR16145860
608,SRR16145896
609,SRR9130243
610,SRR9130248
611,SRR9130249
612,SRR9130250
613,SRR9130252
614,SRR9130254
615,SRR16145865
616,SRR16145869
617,SRR16249089
618,SRR16249091
619,SRR17190578
620,SRR17190580
621,SRR17190583
